sample_name,participant,source_run,status,reason,first_action_original_frame_idx,first_action_frame_name,last_action_original_frame_idx,last_action_frame_name,trim_start_original_frame_idx,trim_start_frame_name,trim_start_timestamp,trim_end_original_frame_idx,trim_end_frame_name,trim_end_timestamp,frame_annotation_original_rows,frame_annotation_keep_rows,frame_annotation_before_rows,frame_annotation_after_rows,001431512812_original_frames,001431512812_keep_frames,001431512812_before_frames,001431512812_after_frames,001484412812_original_frames,001484412812_keep_frames,001484412812_before_frames,001484412812_after_frames,001528512812_original_frames,001528512812_keep_frames,001528512812_before_frames,001528512812_after_frames,mindrove_left_original_rows,mindrove_left_keep_rows,mindrove_left_before_rows,mindrove_left_after_rows,mindrove_right_original_rows,mindrove_right_keep_rows,mindrove_right_before_rows,mindrove_right_after_rows
run_sample_000051,J,run_3,ok,,691,20260316_120245_937805.jpg,1904,20260316_120326_580592.jpg,661,20260316_120244_925729.jpg,20260316_120244_925729,1934,20260316_120327_589443.jpg,20260316_120327_589443,2225,1274,660,291,2232,1280,661,291,2225,1274,660,291,2231,1280,660,291,42500,21320,11914,9266,42500,21340,11648,9512
run_sample_000052,J,run_4,ok,,869,20260316_120504_093516.jpg,3776,20260316_120641_030425.jpg,839,20260316_120503_078890.jpg,20260316_120503_078890,3806,20260316_120642_020360.jpg,20260316_120642_020360,4235,2968,838,429,4235,2967,838,430,4235,2968,838,429,4233,2968,837,428,75000,49444,13450,12106,75000,49488,13246,12266
run_sample_000053,J,run_6,ok,,619,20260316_121320_350842.jpg,1871,20260316_121402_105357.jpg,589,20260316_121319_357983.jpg,20260316_121319_357983,1901,20260316_121403_102487.jpg,20260316_121403_102487,2184,1313,588,283,2185,1312,589,284,2184,1313,588,283,2185,1313,589,283,41000,21858,9948,9194,41000,21880,9962,9158
run_sample_000054,J,run_7,ok,,639,20260316_121524_261114.jpg,1875,20260316_121605_488991.jpg,609,20260316_121523_263030.jpg,20260316_121523_263030,1905,20260316_121606_510286.jpg,20260316_121606_510286,2186,1297,608,281,2188,1297,609,282,2186,1297,608,281,2187,1297,609,281,40000,21608,8366,10026,40000,21632,8432,9936
run_sample_000055,J,run_8,ok,,636,20260316_121738_098504.jpg,3297,20260316_121906_833817.jpg,606,20260316_121737_090856.jpg,20260316_121737_090856,3327,20260316_121907_828396.jpg,20260316_121907_828396,3695,2722,605,368,3695,2721,605,369,3695,2722,605,368,3695,2721,605,369,66000,45342,9242,11416,66000,45384,9368,11248
run_sample_000056,J,run_10,ok,,671,20260316_122723_828434.jpg,1968,20260316_122807_074875.jpg,641,20260316_122722_820796.jpg,20260316_122722_820796,1998,20260316_122808_084823.jpg,20260316_122808_084823,2257,1358,640,259,2255,1358,638,259,2257,1358,640,259,2256,1358,639,259,42000,22616,9928,9456,42500,22638,9728,10134
run_sample_000057,J,run_11,ok,,659,20260316_122921_841677.jpg,1898,20260316_123003_152208.jpg,629,20260316_122920_828887.jpg,20260316_122920_828887,1928,20260316_123004_160255.jpg,20260316_123004_160255,2191,1300,628,263,2192,1300,629,263,2191,1300,628,263,2191,1299,629,263,40500,21652,9894,8954,40500,21672,9748,9080
run_sample_000058,J,run_12,ok,,653,20260316_123205_019752.jpg,3665,20260316_123345_465253.jpg,623,20260316_123204_036168.jpg,20260316_123204_036168,3695,20260316_123346_455537.jpg,20260316_123346_455537,4066,3073,622,371,4059,3068,618,373,4066,3073,622,371,4068,3071,624,373,72500,51178,10448,10874,72500,51226,10374,10900
run_sample_000059,J,run_13,ok,,893,20260316_123710_664057.jpg,5417,20260316_123941_514158.jpg,863,20260316_123709_662068.jpg,20260316_123709_662068,5447,20260316_123942_523319.jpg,20260316_123942_523319,5721,4585,862,274,5720,4584,862,274,5721,4585,862,274,5721,4584,862,275,98000,76384,12666,8950,98000,76450,12730,8820
run_sample_000060,J,run_14,ok,,720,20260316_124137_940708.jpg,1929,20260316_124218_262114.jpg,690,20260316_124136_939033.jpg,20260316_124136_939033,1959,20260316_124219_248724.jpg,20260316_124219_248724,2222,1270,689,263,2223,1269,690,264,2222,1270,689,263,2223,1268,691,264,40500,21142,11226,8132,40500,21162,10904,8434
