comparison_model,condition,grouping,group,contributing_jobs,tier3_accuracy_delta_mean,tier3_accuracy_delta_sd,tier3_macro_f1_delta_mean,node_accuracy_delta_mean
A1-Legacy-Once,normal,exact_full_prefix,False,12,0.007293412008734179,0.04165434126684983,0.007773306695252132,0.008159332651462486
A1-Legacy-Once,normal,exact_full_prefix,True,12,0.01736264922963678,0.04317633330967767,0.010562491281988487,0.018706735251142175
A1-Legacy-Once,normal,history_length,0,12,0.02067669172932331,0.05755116482678789,0.02990311601713977,0.02067669172932331
A1-Legacy-Once,normal,history_length,1-2,12,0.005200501253132826,0.07278777977603737,-0.008563794543830846,0.005200501253132826
A1-Legacy-Once,normal,history_length,11-20,12,-0.007388348483971213,0.053579393311471,-0.005151562663858735,-0.005473839990515354
A1-Legacy-Once,normal,history_length,21+,12,0.01467827274278887,0.04799627047137993,0.024048353909465053,0.011239119303635433
A1-Legacy-Once,normal,history_length,3-5,12,0.03411306042884991,0.07840360744215019,0.022247111493979076,0.0345029239766082
A1-Legacy-Once,normal,history_length,6-10,12,0.030167084377610686,0.07794187401795254,0.02257019235325931,0.0331077694235589
A1-Legacy-Once,normal,local_prefix_3,insufficient,12,0.010359231411862976,0.05389406604418349,0.0035191867730506032,0.010359231411862976
A1-Legacy-Once,normal,local_prefix_3,seen,12,0.014426742016839208,0.05119590219857129,-0.00318525745830997,0.016039808946429746
A1-Legacy-Once,normal,local_prefix_3,unseen,12,0.02083333333333336,0.06230037534103123,0.022362472766884505,0.02083333333333336
A1-Legacy-Once,normal,local_suffix_1,insufficient,12,0.02067669172932331,0.05755116482678789,0.02990311601713977,0.02067669172932331
A1-Legacy-Once,normal,local_suffix_1,seen,12,0.01338231376609251,0.04244407495715428,0.00633531688601946,0.014622766066209455
A1-Legacy-Once,normal,local_suffix_2,insufficient,12,0.016917293233082692,0.04672073016158217,0.005358623112639164,0.016917293233082692
A1-Legacy-Once,normal,local_suffix_2,seen,12,0.012930947118807304,0.04689742934681071,-0.00212822514487195,0.014335035061356796
A1-Legacy-Once,normal,local_suffix_2,unseen,12,0.03888888888888887,0.10044793057327474,0.0553030303030303,0.03888888888888887
A1-Legacy-Once,normal,stage,1,12,0.0013888888888888933,0.027421223623731283,0.008988696488696499,0.0013888888888888933
A1-Legacy-Once,normal,stage,2,12,0.018083900226757366,0.048598180306137814,0.011373580143106974,0.019671201814058948
A1-Legacy-Once,normal,stage,3,12,0.007156862745098053,0.044841029266739704,0.004857781107781095,0.007156862745098053
A1-Legacy-Once,normal,tail_reason,active_incomplete_atomic_prefix,12,0.016905666728022295,0.0504734573310077,0.0013707828102240138,0.018515303921770504
A1-Legacy-Once,normal,tail_reason,atomic_sequence_complete,12,-0.007591442374051072,0.03761401692529813,-0.007955404383975831,-0.007591442374051072
A1-Legacy-Once,normal,tail_reason,empty_history,12,0.02067669172932331,0.05755116482678789,0.02990311601713977,0.02067669172932331
A1-Legacy-Once,normal,tail_reason,latest_node_not_atomic,12,0.005669330669330665,0.032768963904015035,0.017138030436641555,0.005669330669330665
A1-Legacy-Once,normal,tail_reason,repeated_node_fallback,3,0.0,0.1428571428571429,0.01587301587301589,0.0
A3-DualPos-Once,all,active_tail,False,12,-0.009761125322394084,0.026813471288578195,-0.01688945890043399,-0.01097364736824947
A3-DualPos-Once,all,active_tail,True,12,-0.014092039435682028,0.0459430922557109,-0.01962206022661288,-0.021736496607630624
A3-DualPos-Once,all,exact_full_prefix,False,12,-0.01047511483770383,0.035214350011305545,-0.009087372930459562,-0.020176514076968365
A3-DualPos-Once,all,exact_full_prefix,True,12,-0.013509757407745645,0.03733463814255542,-0.006000729663195352,-0.017349773839002974
A3-DualPos-Once,all,history_length,0,12,-0.02722222222222223,0.04594316500606387,0.015278382117514108,-0.02722222222222223
A3-DualPos-Once,all,history_length,1-2,12,0.0032638888888888717,0.08659777151859355,-0.013232387943522392,0.0032638888888888717
A3-DualPos-Once,all,history_length,11-20,12,-0.021336260467827228,0.044453662646576346,-0.012771216133017968,-0.029494522872791796
A3-DualPos-Once,all,history_length,21+,12,0.000280474466957568,0.045794052897628335,0.0020306116945588704,-0.009136389205225248
A3-DualPos-Once,all,history_length,3-5,12,-0.022453703703703698,0.04865096970999044,-0.0079109451863315,-0.024768518518518506
A3-DualPos-Once,all,history_length,6-10,12,-0.0024801587301587213,0.07632931467557434,-0.002977301987372801,-0.00988095238095237
