model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
A1-Legacy-Once,fault,stage,2,12,999,83.25,0.8367847184222592,0.11554149842241423,0.821921219897506,0.11696877042162734,0.8333702757221023,0.11475744735292877
A1-Legacy-Once,fault,stage,3,12,165,13.75,0.7920955882352941,0.09926055893496562,0.7865663580246913,0.1040596004824686,0.7920955882352941,0.09926055893496562
A1-Legacy-Once,fault,active_tail,False,12,591,49.25,0.8275286042733514,0.0388083557040648,0.7985889665889666,0.07353977022594653,0.8234813321347727,0.042677013056401876
A1-Legacy-Once,fault,active_tail,True,12,771,64.25,0.8386284704912694,0.13396024658080585,0.8553999158886395,0.11629632779128887,0.8375347367622265,0.13411622155705838
A1-Legacy-Once,fault,tail_reason,active_incomplete_atomic_prefix,12,771,64.25,0.8386284704912694,0.13396024658080585,0.8553999158886395,0.11629632779128887,0.8375347367622265,0.13411622155705838
A1-Legacy-Once,fault,tail_reason,atomic_sequence_complete,12,63,5.25,0.7118055555555555,0.24260419851694065,0.7083333333333334,0.24288413868764297,0.7118055555555555,0.24260419851694065
A1-Legacy-Once,fault,tail_reason,empty_history,12,81,6.75,0.862962962962963,0.22718367129111502,0.806517094017094,0.2893552373638931,0.862962962962963,0.22718367129111502
A1-Legacy-Once,fault,tail_reason,latest_node_not_atomic,12,216,18.0,0.7796900161030597,0.05403559320005527,0.7862037037037037,0.05775741192140452,0.7796900161030597,0.05403559320005527
A1-Legacy-Once,fault,tail_reason,observed_atomic_nodes_not_prefix,12,69,5.75,0.9583333333333334,0.0814173684098662,0.9866452991452991,0.026565267664717142,0.9583333333333334,0.0814173684098662
A1-Legacy-Once,fault,tail_reason,repeated_node_fallback,12,162,13.5,0.8240740740740741,0.10725636657371365,0.7975694444444444,0.13868529901651314,0.8117283950617283,0.10290497280957611
A1-Legacy-Once,all,exact_full_prefix,False,12,2007,167.25,0.8234657226437857,0.0362467461342177,0.7882160630834547,0.0553378944162412,0.8208689220421143,0.03492661868662948
A1-Legacy-Once,all,exact_full_prefix,True,12,3678,306.5,0.8713793913344384,0.05856206732166236,0.8481842584692495,0.049050464788473885,0.8713793913344384,0.0584585903632647
A1-Legacy-Once,all,local_suffix_1,insufficient,12,309,25.75,0.8495833333333334,0.10725718407339214,0.7874090409110504,0.20140321265274874,0.8495833333333334,0.10725718407339214
A1-Legacy-Once,all,local_suffix_1,seen,12,5376,448.0,0.8548452701001511,0.058588411074952766,0.8247531087474175,0.041762884575272025,0.8540235071502417,0.058270228076677526
A1-Legacy-Once,all,local_suffix_2,insufficient,12,618,51.5,0.8675,0.055076851725199355,0.8335418784995552,0.09014873208744317,0.8675,0.055076851725199355
