model,participant,seed,condition,grouping,group,n,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
M2-Direct-RealOrder,A,42,normal,history_length,11-20,101,0.8514851485148515,0.8796898469532742,0.8514851485148515,0.8881970970206264
M2-Direct-RealOrder,A,42,normal,history_length,21+,28,0.7857142857142857,0.8523809523809524,0.7857142857142857,0.8523809523809524
M2-Direct-RealOrder,A,42,normal,history_length,3-5,45,0.7333333333333333,0.8271241830065359,0.7333333333333333,0.8271241830065359
M2-Direct-RealOrder,A,42,normal,history_length,6-10,75,0.7733333333333333,0.6954952237305179,0.7733333333333333,0.6954952237305179
M2-Direct-RealOrder,A,42,normal,stage,1,44,0.8181818181818182,0.871933621933622,0.8181818181818182,0.8719336219336218
M2-Direct-RealOrder,A,42,normal,stage,2,210,0.7857142857142857,0.8007344171597126,0.7857142857142857,0.8210753741277257
M2-Direct-RealOrder,A,42,normal,stage,3,40,0.925,0.9571428571428573,0.925,0.9571428571428571
M2-Direct-RealOrder,A,42,normal,active_tail,False,83,0.9036144578313253,0.8952537406838482,0.9036144578313253,0.8952537406838483
M2-Direct-RealOrder,A,42,normal,active_tail,True,211,0.7725118483412322,0.8253947300979149,0.7725118483412322,0.8486294086696791
M2-Direct-RealOrder,A,42,normal,tail_reason,active_incomplete_atomic_prefix,211,0.7725118483412322,0.8253947300979149,0.7725118483412322,0.8486294086696791
M2-Direct-RealOrder,A,42,normal,tail_reason,atomic_sequence_complete,19,0.8947368421052632,0.7922902494331066,0.8947368421052632,0.7922902494331066
M2-Direct-RealOrder,A,42,normal,tail_reason,empty_history,15,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,normal,tail_reason,latest_node_not_atomic,49,0.8775510204081632,0.8783068783068785,0.8775510204081632,0.8783068783068784
M2-Direct-RealOrder,A,42,fault,exact_full_prefix,False,50,0.72,0.7259834368530022,0.72,0.7586238323080429
M2-Direct-RealOrder,A,42,fault,exact_full_prefix,True,87,0.7011494252873564,0.6779419813902573,0.6896551724137931,0.6866031746031745
M2-Direct-RealOrder,A,42,fault,local_suffix_1,insufficient,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,fault,local_suffix_1,seen,128,0.6875,0.6912376838847427,0.6796875,0.7030996780996782
M2-Direct-RealOrder,A,42,fault,local_suffix_2,insufficient,18,0.8888888888888888,0.9270833333333333,0.8888888888888888,0.9270833333333334
M2-Direct-RealOrder,A,42,fault,local_suffix_2,seen,113,0.6814159292035398,0.6983131451881452,0.672566371681416,0.7120332048903478
M2-Direct-RealOrder,A,42,fault,local_suffix_2,unseen,6,0.6666666666666666,0.8222222222222223,0.6666666666666666,0.8222222222222223
M2-Direct-RealOrder,A,42,fault,local_prefix_3,insufficient,27,0.9259259259259259,0.9513888888888888,0.9259259259259259,0.9513888888888888
M2-Direct-RealOrder,A,42,fault,local_prefix_3,seen,99,0.6464646464646465,0.6892084926567684,0.6363636363636364,0.7108105228105228
M2-Direct-RealOrder,A,42,fault,local_prefix_3,unseen,11,0.7272727272727273,0.7999999999999998,0.7272727272727273,0.7999999999999999
M2-Direct-RealOrder,A,42,fault,history_length,0,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,fault,history_length,1-2,18,0.8888888888888888,0.9583333333333333,0.8888888888888888,0.9583333333333333
M2-Direct-RealOrder,A,42,fault,history_length,11-20,44,0.7272727272727273,0.7067099567099567,0.7272727272727273,0.7347578347578347
M2-Direct-RealOrder,A,42,fault,history_length,21+,9,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666
