comparison_model,participant,seed,condition,grouping,group,tier3_accuracy_delta_vs_m2,tier3_macro_f1_delta_vs_m2,node_accuracy_delta_vs_m2
A1-Legacy-Once,A,42,normal,tail_reason,atomic_sequence_complete,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,42,normal,tail_reason,latest_node_not_atomic,0.020408163265306145,0.016931216931216908,0.020408163265306145
A1-Legacy-Once,D,1,all,active_tail,False,0.021739130434782594,0.05459183673469392,0.021739130434782594
A1-Legacy-Once,D,1,all,active_tail,True,0.08024691358024683,0.058042742174422735,0.08333333333333326
A1-Legacy-Once,D,1,all,exact_full_prefix,False,0.04395604395604402,0.030830607110410635,0.0494505494505495
A1-Legacy-Once,D,1,all,exact_full_prefix,True,0.07499999999999996,0.06731580312604513,0.07499999999999996
A1-Legacy-Once,D,1,all,history_length,0,0.0,0.039999999999999925,0.0
A1-Legacy-Once,D,1,all,history_length,1-2,0.0,0.0,0.0
A1-Legacy-Once,D,1,all,history_length,11-20,0.04137931034482756,0.028808411570508397,0.0482758620689655
A1-Legacy-Once,D,1,all,history_length,21+,0.042553191489361764,0.11682722039864901,0.042553191489361764
A1-Legacy-Once,D,1,all,history_length,3-5,-0.013333333333333308,0.01112101112101127,-0.013333333333333308
A1-Legacy-Once,D,1,all,history_length,6-10,0.18333333333333335,0.054731266357553876,0.18333333333333335
A1-Legacy-Once,D,1,all,local_prefix_3,insufficient,0.0,0.009090909090909038,0.0
A1-Legacy-Once,D,1,all,local_prefix_3,seen,0.07647058823529418,-0.03259602125905969,0.0794117647058824
A1-Legacy-Once,D,1,all,local_prefix_3,unseen,0.06382978723404253,0.08472222222222225,0.06382978723404253
A1-Legacy-Once,D,1,all,local_suffix_1,insufficient,0.0,0.039999999999999925,0.0
A1-Legacy-Once,D,1,all,local_suffix_1,seen,0.06636155606407323,0.03241373342099663,0.06864988558352403
A1-Legacy-Once,D,1,all,local_suffix_2,insufficient,0.0,0.017857142857142905,0.0
A1-Legacy-Once,D,1,all,local_suffix_2,seen,0.0692307692307692,-0.0019116291776105632,0.07179487179487176
A1-Legacy-Once,D,1,all,local_suffix_2,unseen,0.09090909090909094,0.14102564102564108,0.09090909090909094
A1-Legacy-Once,D,1,all,stage,1,-0.015151515151515138,0.0008264462809918216,-0.015151515151515138
